WJ (A),,,,,,,,CH (B),,,,
 Number , Packet Number , Received Time , Last Received Time ,,,,,Number , Packet Number , Received Time , Last Received Time ,
,,,,,,,,34,4.171,0.588101385,4.208877551,4.310439936
,,,,,,,,35,4.726,0.588101385,4.208877551,4.310439936
,,,,,,,,36,5.492,0.751691823,4.208877551,4.310439936
,,,,,Interval,Received,Probability,37,6.296,0.866447176,4.208877551,4.310439936
,,1,0.101,,1,4,0.2,38,7.171,0.935445923,4.208877551,4.310439936
,,2,0.101,,2,9,0.45,39,7.281,0.935445923,4.208877551,4.310439936
,,3,0.101,,3,10,0.5,40,7.375,0.935445923,4.208877551,4.310439936
,,4,0.304,,4,12,0.6,41,7.585,0.935445923,4.208877551,4.310439936
,,5,1.007,,5,14,0.7,42,8.835,0.971746833,4.208877551,4.310439936
,,6,1.101,,6,14,0.7,43,10.179,0.995868152,4.208877551,4.310439936
,,7,1.406,,7,16,0.8,44,10.734,0.995868152,4.208877551,4.310439936
,,8,1.601,,8,17,0.85,45,12.304,0.999560928,4.208877551,4.310439936
,,9,1.703,,9,19,0.95,46,12.601,0.999560928,4.208877551,4.310439936
,,10,2.703,,10,19,0.95,47,14.398,0.999964707,4.208877551,4.310439936
,,11,3.101,,11,19,0.95,48,14.914,0.999964707,4.208877551,4.310439936
,,12,3.601,,12,19,0.95,49,15.984,0.999990895,4.208877551,4.310439936
,,13,4.507,,13,19,0.95,,,,,
,,14,4.703,,14,19,0.95,,,,,4.08785
,,15,6.304,,15,19,0.95,,,,,
,,16,6.703,,16,19,0.95,,,,,
,,17,7.203,,17,19,0.95,,,,,
,,18,7.601,,18,19,0.95,,,,,
,,19,8.703,,19,19,0.95,,,,,
,,20,19.203,,20,20,1,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Number,Interval,,,Interval (s),Number of Occurrences,Probability,,,,
,,1,0.015,,,1,10,0.204081633,,,,
,,2,0.054,,,2,23,0.469387755,,,,
,,3,0.07,,,3,27,0.551020408,,,,
,,4,0.078,,,4,32,0.653061224,,,,
,,5,0.093,,,5,35,0.714285714,,,,
,,6,0.492,,,6,36,0.734693878,,,,
,,7,0.515,,,7,37,0.755102041,,,,
,,8,0.617,,,8,41,0.836734694,,,,
,,9,0.789,,,9,42,0.857142857,,,,
,,10,0.968,,,10,42,0.857142857,,,,
,,11,1.015,,,11,44,0.897959184,,,,
,,12,1.062,,,12,44,0.897959184,,,,
,,13,1.125,,,13,46,0.93877551,,,,
,,14,1.304,,,14,46,0.93877551,,,,
,,15,1.578,,,15,48,0.979591837,,,,
,,16,1.664,,,16,49,1,,,,
,,17,1.695,,,,,,,,,
,,18,1.703,,,,,,,,,
,,19,1.765,,,,,,,,,
,,20,1.812,,,,,,,,,
,,21,1.898,,,,,,,,,
,,22,1.921,,,,,,,,,
,,23,1.984,,,,,,,,,
,,24,2.289,,,,,,,,,
,,25,2.585,,,,,,,,,
,,26,2.71,,,,,,,,,
,,27,2.906,,,,,,,,,
,,28,3.203,,,,,,,,,
,,29,3.226,,,,,,,,,
,,30,3.242,,,,,,,,,
,,31,3.828,,,,,,,,,
,,32,3.89,,,,,,,,,
,,33,4.093,,,,,,,,,
,,34,4.171,,,,,,,,,
,,35,4.726,,,,,,,,,
,,36,5.492,,,,,,,,,
,,37,6.296,,,,,,,,,
,,38,7.171,,,,,,,,,
,,39,7.281,,,,,,,,,
,,40,7.375,,,,,,,,,
,,41,7.585,,,,,,,,,
,,42,8.835,,,,,,,,,
,,43,10.179,,,,,,,,,
,,44,10.734,,,,,,,,,
,,45,12.304,,,,,,,,,
,,46,12.601,,,,,,,,,
,,47,14.398,,,,,,,,,
,,48,14.914,,,,,,,,,
,,49,15.984,,,,,,,,,
